"Actual morbidity rate ** per 100,000",Number of verified patients added in the last 3 days,The growth rate of patients is verified in the last 3 days,A number of recoverers,Verified,Several subjects so far,Population as of 2018,City
1005,5,3.5%,21,146,3870,12435,Dyer al-Assad
742,32,1.2%,1363,2813,23520,195298,Bnei Brak
398,4,1.1%,195,381,3895,46760,El'ad
389,37,127.6%,-,66,539,16983,Hura
383,0,0.0%,2,34,1536,8355,Bi'ina
306,2,0.7%,95,276,2462,59240,Beitar Illit
291,0,0.0%,34,59,531,8602,Kokhav Ya'akov
289,11,2.9%,183,396,3784,73808,Modi'in Illit
260,14,3.2%,144,458,4214,120812,Beit Shemesh
235,95,2.9%,1272,3421,47367,914559,Jerusalem
222,0,0.0%,2,15,575,5851,Pekiin
205,0,0.0%,19,94,1265,36511,Netivot
183,0,0.0%,16,43,1939,14732,Jasser a-Zarqa
178,3,6.1%,19,52,759,18510,Giv'at Ze'ev
161,1,0.7%,85,141,2361,34843,Or Yehuda
160,0,0.0%,21,40,447,11841,Rechasim
142,0,0.0%,103,166,3097,44353,Tiberias
140,0,0.0%,19,26,298,4991,Mitzpe Ramon
136,0,0.0%,5,15,215,7373,Katzrin
131,0,0.0%,50,64,994,10676,Efrat
126,0,0.0%,5,16,316,8737,Harish
125,1,3.3%,18,31,1225,10414,Daburiyya
122,0,0.0%,22,45,883,18930,Ganei Tikva
119,0,0.0%,36,44,394,6724,Kfar Habad
105,0,0.0%,33,39,652,5713,Kiryat Ye'arim
103,3,4.0%,21,78,2308,55324,Umm el-Fahm
97,2,13.3%,-,17,586,17465,Ar'arat an-Naqab
93,1,3.2%,21,32,597,11819,Azur
88,5,11.9%,9,47,1462,43144,Tayibe
85,1,7.1%,2,15,1573,15275,Majd al-Krum
76,0,0.0%,81,137,4093,73979,Ra'anana
75,0,0.0%,21,31,693,13263,Even Yehuda
73,1,1.4%,44,70,1106,35671,Zefat
72,1,1.3%,58,79,1423,29104,Yehud
70,0,0.0%,24,45,1130,30185,Ofakim
69,0,0.0%,24,41,994,24538,Giv'at Shmuel
63,1,1.9%,40,55,807,23691,Kiryat Malakhi
62,0,0.0%,2,16,881,22449,Kafr Kanna
61,0,0.0%,85,101,1552,26058,Migdal HaEmek
61,0,0.0%,39,54,1750,24633,Gedera
60,2,0.8%,181,264,6184,139032,Ashkelon
59,2,3.8%,17,55,1922,64649,Rahat
59,0,0.0%,16,23,809,11910,Jatt
59,1,2.0%,30,52,1970,37469,Ma'ale Adumim
59,11,4.1%,149,281,7435,225073,Ashdod
55,3,1.8%,97,169,5010,130523,Bat Yam
55,0,0.0%,24,35,920,20041,Shoham
54,0,0.0%,24,36,674,22341,Zikhron Ya'akov
54,0,0.0%,10,23,881,24216,Be'er Ya'akov
52,1,0.5%,109,184,7106,143370,Ramat Gan
51,1,2.0%,23,51,1599,55400,Kiryat Gat
50,3,6.4%,23,50,1912,53965,Rosh Ha'ayin
49,1,2.0%,29,52,1697,46596,Carmiel
49,1,1.2%,50,87,2295,75038,Lod
49,0,0.0%,34,52,1585,37112,Kiryat Ono
47,0,0.0%,6,17,1020,23517,Kafr Qasim
41,0,0.0%,6,17,555,26763,Arad
39,4,1.5%,180,274,9307,242478,Petah Tikva
38,1,0.6%,96,171,7781,196755,Be'er Sheva
38,1,3.6%,14,29,1391,39556,Kiryat Yam
37,2,0.4%,365,531,17403,450192,Tel Aviv - Yafo
34,0,0.0%,89,119,3674,87108,Modi'in-Maccabim-Re'ut
34,0,0.0%,8,15,519,20831,Kadima Zoran
33,0,0.0%,46,63,1840,50886,Afula
32,2,1.1%,117,177,6514,185741,Holon
31,2,13.3%,7,17,1065,32089,Sakhnin
31,0,0.0%,23,31,862,25891,Sderot
31,0,0.0%,74,102,3275,90900,Herzliya
30,0,0.0%,19,32,1694,43811,Nof Ha'Galil
28,0,0.0%,10,16,586,21301,Kfar Yona
27,1,0.6%,118,176,5717,213971,Netanya
27,2,4.8%,32,44,1511,44896,Ramat HaSharon
26,0,0.0%,12,25,1644,50872,Acre
25,2,1.2%,96,164,8251,272584,Haifa
24,0,0.0%,27,38,1462,45555,Yavne
24,0,0.0%,12,19,1058,29035,Baqa al-Gharbiya
24,0,0.0%,159,217,8297,241010,Rishon Lezion
24,1,0.9%,85,118,4788,137178,Rehovot
24,1,5.0%,13,21,1047,33792,Tamra
24,0,0.0%,49,72,3046,97412,Kfar Saba
24,0,0.0%,28,41,2033,55123,Givatayim
23,0,0.0%,10,15,544,22152,Kiryat Shmona
22,0,0.0%,13,18,536,22243,Tirat Carmel
22,0,0.0%,21,26,759,22410,Gan Yavne
22,1,2.5%,28,41,2442,58750,Nahariya
21,0,0.0%,41,57,2208,75246,Ramla
20,1,6.3%,9,17,1329,39262,Kiryat Bialik
20,0,0.0%,20,27,1024,35377,Dimona
20,0,0.0%,9,17,1093,40622,Pardes Hanna-Karkur
19,0,0.0%,30,41,1552,59171,Hod HaSharon
18,0,0.0%,34,51,2895,94104,Hadera
18,0,0.0%,12,16,486,22711,Yokneam
18,0,0.0%,11,19,1328,45714,Ness Ziona
14,1,5.3%,9,20,1250,78252,Nazareth
12,0,0.0%,18,25,1426,57108,Kiryat Ata
11,0,0.0%,17,23,1188,56568,Eilat
9,0,0.0%,13,15,1104,23093,Mevaseret Zion
